question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
51,local,20,action,,What did Sadamitsu do to find boys who gave promise of remarkable strength?,explicit,assumed the disguise of a woodcutter,go round the country,,,,,
52,local,20,action,,What was Kintaro's mother's one wish of her life?,explicit,seeing Kintaro a samurai before she died,,,,,,
53,local,20,action,,How could Sadamitsu help Kintaro's mother fulfill her wish?,explicit,He could take Kintaro and present him to the Lord Raiko as a candidate for his service.,,,,,,
54,local,20,prediction,action,How will Kintaro's mom respond to Sadamitsu's offer?,implicit,She will accept.,She will allow Kintaro to go.,,,,,
55,local,21,feeling,,How did Kintaro feel upon hearing his mother finish speaking?,explicit,joy,,,,,,
56,local,22,outcome resolution,,What happened because Kintaro's mother did not want to discourage him?,explicit,She hid her grief with a strong face.,,,,,,
57,local,22,action,,What did Kintaro promise to do?,explicit,never forget her,build her a home,take care of her in her old age,,,,
58,local,22,feeling,,How did the animals feel when they heard Kintaro was leaving for good?,implicit,sad,upset,,,,,
59,summary,"18,23",causal relationship,,Why did Lord Raiko make Kintaro a vassal at once?,implicit,Kintaro was very strong.,He heard the story of Kintaro's strength.,,,,,
60,local,25,action,,What did Kintaro rise to be?,explicit,the greatest hero of his country,,,,,,
