question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
35,local,9,action,,What happened at midnight of the seventh day?,explicit,The door of the innermost shrine flew open and Jofuku appeared.,,,,,,
36,summary,"9,10",causal relationship,,Why did Jofuku think Sentaro could not become a hermit?,explicit,Sentaro was found of good living and of every comfort.,He was exceptionally idly and more sensitive to heat and cold than most people.,,,,,
37,local,9,causal relationship,,Why was it hard to be a hermit?,explicit,Hermits were only allowed to eat fruit and berries and the bark of pine trees.,A hermit must cut himself off from the world.,,,,,
38,local,9,outcome resolution,,What happened to hermits after they followed the strict rules?,explicit,"The hermit ceases to feel hunger or cold or heat. His body becomes so light that he can ride on a crane or a carp, and can walk on water without getting his feet wet.",,,,,,
39,local,10,causal relationship,,Why did Jofuku offer Sentaro another way to answer his prayer?,implicit,Sentaro would not make it as a hermit.,Sentaro was not strong enough to be a hermit.,,,,,
40,local,10,action,,What did Jofuku give Sentaro?,explicit,a little crane made of paper,,,,,,
41,local,10,setting,,Where did Jofuku send Sentaro?,explicit,the country of Perpetual Life,,,,,,
42,local,10,action,,What happens at the country of Perpetual life?,explicit,death never comes,people live forever,,,,,
43,local,10,action,,What would carry Sentaro to the country of Perpetual Life?,explicit,a little crane made of paper,,,,,,
44,local,11,feeling,,How did Sentaro feel when he first rode on the crane?,explicit,frightened,,,,,,
45,summary,"10,11",outcome resolution,,What happened after Sentaro sat on the crane's back?,explicit,The crane grew large enough for him to ride on it with comfort.,,,,,,
46,local,11,action,,What did the crane do after it grew large?,explicit,"spread its wings, rose high in the air, and flew away",,,,,,
47,local,11,causal relationship,,Why did the bird not need to stop for nourishment?,explicit,It was a paper bird.,,,,,,
48,local,11,action,,How long did it take to reach the island?,explicit,several days,,,,,,
49,local,12,action,,What did the crane do after Sentaro got off its back?,explicit,folded up of its own accord and flew into his pocket,,,,,,
50,local,12,causal relationship,,Why did Sentaro decide to stay at the island?,explicit,The land and the people seemed prosperous.,,,,,,
51,local,12,setting,,Where did Sentaro stay when he first arrived at the country of Perpetual Life?,explicit,one of the hotels,,,,,,
52,local,12,character,,Who helped Sentaro arrange everything that was necessary?,explicit,the proprietor,,,,,,
53,local,13,action,,What had never happened at the island within the memory of the islanders?,explicit,No man had ever died there and sickness was a thing unknown.,,,,,,
54,local,13,action,,What could only be reached by dying?,explicit,Paradise,,,,,,
55,local,13,causal relationship,,Why did the other people long for death?,explicit,"They were all tired of their long, long lives.",longed to go to the happy land of contentment called Paradise,,,,,
56,local,13,causal relationship,,Why could the islanders not reach Paradise?,implicit,They could not die.,They lived forever.,,,,,
57,local,13,character,action,How was Sentaro unlike the other people on the island?,explicit,He had a great dread of death.,The people longed for death.,,,,,
58,local,14,feeling,,How did Sentaro feel when he heard of the people's longing for death?,implicit,confused,surprised,,,,,
59,local,14,action,,What did the rich people do when merchants arrived?,explicit,rushed to them to buy poisons,,,,,,
60,local,14,causal relationship,,Why did the people drink poison?,explicit,hoped for death to come so that they might go to Paradise,,,,,,
61,summary,"14,15",causal relationship,,Why did the poisons not work at the land of Perpetual Life?,implicit,They could not die there.,They could not get sick there.,,,,,
62,local,15,outcome resolution,,What happened when people swallowed the poisons?,explicit,They felt better in health instead of worse.,,,,,,
63,local,15,feeling,,How did their long lives make the people feel?,explicit,wearisome,sad,,,,,
64,local,15,causal relationship,,Why was the drug in the chemist shop in constant demand?,explicit,It was supposed to turn hair slightly gray and bring about disorders of the stomach.,,,,,,
65,local,16,causal relationship,,Why was Sentaro delighted?,explicit,He said he would never grow tired of living.,,,,,,
66,summary,"15,16",character,action,How was Sentaro the only happy man on the island?,implicit,Everyone else wanted to die.,Everyone else wished for death.,,,,,
67,local,17,causal relationship,,What caused Sentaro great annoyance?,explicit,heavy losses in business,several times some affairs went wrong with his neighbors,,,,,
68,local,17,causal relationship,,How did Sentaro grow tired of life in that country?,explicit,He was busy from morning till night.,He longed to see his own land and his old home.,,,,,
69,local,17,prediction,action,What will Sentaro do because he grew tired of the country?,implicit,try to go back home,try to leave,,,,,
70,summary,"11,17",prediction,action,How will Sentaro return home?,implicit,fly on the crane,the paper crane,,,,,
71,local,18,causal relationship,,Why was Sentaro amazed the crane was undamaged?,explicit,It was in his pocket for a long time.,A long time had passed since he got the crane.,,,,,
72,local,18,outcome resolution,,What happened after the crane headed towards Japan?,explicit,Sentaro had regretted all he had left behind.,He tried to stop the bird in vain.,,,,,
73,local,19,causal relationship,,Why did the storm cause the crane to crumple up and fall?,implicit,It was made of paper.,It was a paper crane.,,,,,
74,local,19,action,,What did Sentaro do when he fell in the water?,explicit,cried out loudly to Jofuku to save him,,,,,,
75,local,19,feeling,,How did Sentaro feel at the thought of drowning?,explicit,frightened,,,,,,
76,local,19,action,,What increased Sentaro's miserable plight?,explicit,He swallowed a quantity of sea-water.,,,,,,
77,local,19,action,,What swam towards Sentaro?,explicit,a monstrous shark,,,,,,
78,local,19,action,,What did Sentaro think would happen when he saw the shark?,implicit,He would be eaten.,He would die.,,,,,
79,local,19,setting,,Where was Sentaro when he woke up?,explicit,the shrine,,,,,,
80,local,19,action,,What did Sentaro's adventures turn out to be?,explicit,a wild dream,,,,,,
81,local,19,outcome resolution,,What happened because Sentaro was screaming?,explicit,Sentaro was awakened.,,,,,,
82,local,20,causal relationship,,Why did Jofuku send Sentaro to the land of Perpetual life in a dream?,implicit,to test Sentaro,to show Sentaro what perpetual life was like,,,,,
83,local,20,action,,How did Jofuku know Sentaro's desire for death was not real?,implicit,He cried loudly for help when he thought the shark would eat him.,He was still afraid to be eaten by the shark.,,,,,
84,local,21,causal relationship,,Why was the Elixir of Life not for Sentaro?,explicit,His life was not austere enough.,,,,,,
