question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
35,local,5,feeling,,How did the Fairy feel after hearing Sylvia's report on Phyllida?,explicit,pleased,,,,,,
36,local,5,causal relationship,,Why was the Fairy pleased with herself?,explicit,She brought Sylvia up so well.,,,,,,
37,local,6,action,,What did Sylvia wish for?,explicit,a quiet spirit,,,,,,
38,local,6,action,,What did the wish do to its possessor?,explicit,made life a constant happiness,,,,,,
39,local,6,outcome resolution,,What happened when Sylvia was gay and joyful?,explicit,The sunshine of her presence rejoiced all who had the happiness of being near her.,,,,,,
40,local,1,causal relationship,,Why was Sylvia unwilling to go away?,implicit,She loved the Fairy.,She did not want to part from the Fairy.,She did not want to go to the court of Iris.,,,,
41,local,1,feeling,prediction,How will Sylvia feel parting from the Fairy?,implicit,sad,unhappy,upset,,,,
42,local,2,causal relationship,,Why did Sylvia pity Iris?,implicit,Iris was unhappy.,Everything around Iris became different now that Iris was ugly.,She wanted Iris to be beautiful again.,,,,
43,summary,"2,3",feeling,prediction,How will the Fairy feel knowing she cannot help Iris?,implicit,pitiful,sad,sorry,,,,
44,local,3,causal relationship,,Why did Sylvia want to return to the Fairy after visiting Daphne?,implicit,Princess Daphne talked too much.,Sylvia was annoyed with Princess Daphne.,,,,,
45,local,4,causal relationship,,Why was Sylvia happy with her stay in Princess Cynthia's court?,implicit,She learned a valuable lesson.,She realized what gift she wanted.,She changed her gift request.,,,,
46,local,4,causal relationship,,Why was the Fairy pleased with Sylvia?,implicit,Sylvia learned a valuable lesson.,Sylvia changed her gift request.,Sylvia had a pleasant time at Princess Cynthia's court.,,,,
47,summary,"2,3,4,5",causal relationship,,Why was the Fairy interested in Sylvia's reports?,implicit,Sylvia learned something from her stays.,Sylvia was able to check up on the princesses' well-being.,,,,,
48,local,6,causal relationship,,Why did Sylvia ask for a quiet spirit?,implicit,She did not want a gift like the other princesses.,She experienced too much trouble with the other princesses' gifts.,She realized the other princesses' gifts made them unhappy.,,,,
49,local,6,causal relationship,,Why did it grieve people to see Sylvia's face as pale?,implicit,It made the environment less lovely.,Sylvia had a lovely face.,Sylvia was usually happy.,,,,
