question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
28,local,6,causal relationship,,Why did Harold fall in love with Lady Morna?,explicit,"She was so sweet, and good, and gentle.",,,explicit,"She was so sweet, and good and gentle",,
29,local,6,causal relationship,,Why didn't Lady Morna wish to marry Harold?,explicit,"Lady Morna had sometimes caught glimpses of his jealous temper; she had seen an evil expression in his eyes, and had heard him speak sharply to his servants.",,,explicit,She caught glimpses of his jealous temper; seen an evil expression in his eyes and had hear him speak sharply to his servants,,
30,local,6,feeling,,How did Harold feel after Lady Morna refused his offer?,implicit,surprised,astonished,angry,implicit,Surprised,Saddened,Angry
31,local,6,prediction,action,What will Harold do after Lady Morna refuses his offer?,explicit,beg his mother to persuade the Lady Morna to go back with them on a visit,,,implicit,Win her over with his smarts,Try to convince her to marry him,
32,local,6,causal relationship,,Why did Harold want Lady Morna to go back with them on a visit?,implicit,He hoped he could change her mind.,He wanted her to accept his offer.,,explicit,He would be able to overcome her prejudice against him,,
33,local,7,prediction,outcome solution,What will happen after Lady Morna accepts the Countess Helga's invitation?,implicit,Paul will meet Lady Morna.,Paul will fall in love with Lady Morna.,Lady Morna will fall in love with Paul.,implicit,She will fall in love with Paul,Paul will fall in love with her,Harold will try to win her over
34,local,7,causal relationship,,Why did Paul fall in love with Lady Morna?,explicit,Paul was charmed with the grace and beauty of the fair Irish Maiden.,,,explicit,He was charmed with the grace and beauty of the fair Irish Maiden,,
35,local,7,prediction,outcome solution,What will happen after Harold sees that Paul and Lady Morna fall in love?,implicit,He will become jealous.,He will get angry.,,implicit,He will feel jealous,He will get angry,He will fight Paul
36,local,7,prediction,action,What will Harold do after he becomes jealous of Paul?,implicit,threaten his brother,take his dagger,,implicit,He will try to fight Paul,He will try to harm Paul,
37,summary,"7, 8",action,,How did Paul calm Harold down?,implicit,flattered him,used pleasant words,,implicit,He flattered Harold's way with words,He made Harold believe he had a chance of winning,
38,local,8,action,,What did Harold do after Paul calmed him down?,explicit,"threw down his dagger, and, shaking hands with him, begged him to pardon his unkind thoughts, and went down the winding stair again in high good-humour with himself and all the world",,,explicit,"He threw down his dagger, and shaking hands with him, begged him to pardon his unkind thoughts",,
39,local,8,setting,,Where did Paul and Harold go to when it was the Feast of Yule?,explicit,the great Palace of Orphir,,,explicit,To the great Palace of Orphir,,
40,local,8,feeling,,How did Lady Morna feel while Paul was leaving for the great Palace of Orphir?,implicit,sad,upset,unhappy,explicit,She was full of sadness,,
41,local,8,action,,What did Paul do after he saw Lady Morna crying?,explicit,"folded her in his arms, he whispered to her how much he loved her, and begged her to promise to be his wife",,,implicit,"Hugged her, told her he loved her and begged her to marry him",,
42,local,8,feeling,,How did Lady Morna feel after Paul proposed to her?,implicit,happy,excited,glad,implicit,Excited,Happy,Joyful
43,local,9,action,,What did Paul and Lady Morna do after she accepted his proposal?,explicit,"sat together, rejoicing in their new-found happiness",,,explicit,For a little time they sat together,,
44,local,9,action,,What did Paul want to do after Lady Morna accepted his proposal?,explicit,tell the good news to his mother and his brother,,,explicit,Tell the good news to his mother and brother,,
45,summary,"9, 13",prediction,outcome solution,What will happen after Harold finds out about Paul's and Lady Morna's engagement?,implicit,Harold will try to win Lady Morna's love.,Harold will seek help from Snorro.,,implicit,He will kill Paul,He will be full of hatred and rage,
46,local,9,causal relationship,,Why didn't Lady Morna want to tell Harold about her marriage with Paul?,explicit,She knew what Earl Harold's feeling would be; and she would fain put off the evil hour.,,,explicit,She knew better than her lover,,
47,local,10,character,,Who had overheard every word that Morna and Paul had spoken?,explicit,Countess Fraukirk,,,explicit,Countess Fraukirk,,
48,local,10,feeling,,How did Countess Fraukirk feel after she listened to Lady Morna's and Paul's conversation?,implicit,angry,mad,upset,explicit,Her heart was filled with black rage,,
49,local,10,causal relationship,,Why did Countess Fraukirk hate Paul?,explicit,"If Paul were only dead, Harold would be the sole Earl of Orkney.",,,implicit,"Harold is her blood-nephew, while Paul is not",Paul is in the way of Harold being the only Earl of Orkney,
50,local,10,setting,,Where did Countess Fraukirk go to as the lovers parted?,explicit,her sister's chamber,,,explicit,Her sister's chambers,,
51,local,10,action,,What did the two women do till the chilly dawn broke in the sky?,explicit,remained talking together,,,explicit,The two women had remained talking together,,
52,summary,"10, 11",prediction,action,What will Countess Fraukirk do the next day?,implicit,meet with Snorro the Dwarf,go to where Snorro the Dwarf lived,,implicit,Seek Snorro's help to kill Paul,,
53,local,11,causal relationship,,Why did Countess Fraukirk often meet with Snorro the Dwarf?,explicit,seek his aid to help her in her evil deeds,,,explicit,To get his help to kill Paul,,
54,local,11,causal relationship,,Why did Snorro the Dwarf welcomed Countess Fraukirk gladly?,explicit,She had always paid him well for his services in yellow gold.,,,explicit,She had always paid him well for his services in yellow gold,,
55,local,11,causal relationship,,Why didn't Snorro the Dwarf want to help Countess Fraukirk?,explicit,An Earl's death was a weighty matter.,,,implicit,Snorro is not brave enough to kill a well-loved Earl,Snorro does not want to be part of Paul's death,
56,local,11,causal relationship,,Why didn't Snorro the Dwarf want to risk getting caught after killing Paul?,implicit,He would have to leave his home.,He would lose the change to find the magic carbuncle.,,implicit,He did not want to risk his chance of finding the carbuncle,He would have to leave his land,
57,summary,"11, 12",prediction,action,What will Countess Fraukirk do after Snorro the Dwarf declined her request?,explicit,"offer him much gold, and bribe him higher and higher",,,implicit,Offer him gold,Threaten him by revealing his secrets,
58,local,12,action,,How did Countess Fraukirk convince Snorro the Dwarf to accept her request?,explicit,promised to obtain for him a high post at the Court of the King of Scotland,,,explicit,She promised to obtain for him a high post at the Court of the King of Scotland,,
59,local,12,prediction,action,How will Snorro the Dwarf poison Paul?,implicit,poison his garment,poison his clothing,,implicit,He will make a poison cloth that is very beautiful and whoever wears it many times will die,,
60,local,12,feeling,,How did Countess Fraukirk feel after she heard Snorro the Dwarf's plan?,implicit,content,satisfied,happy,implicit,Impressed,Happy that Paul will die,
61,local,12,action,,What did Countess Fraukirk want from Snorro the Dwarf to make a bonnie waistcoat?,explicit,a couple of yards of this wonderful web,,,explicit,A couple of yards of this wonderful web,,
62,local,12,action,,What did Countess Fraukirk and Snorro the Dwarf do before they parted?,explicit,arranged that the piece of cloth should be delivered at the Palace of Orphir on the day before Christmas Eve,,,explicit,Arrange that the piece of cloth should be delivered at the Palace of Orphir,,
63,local,13,causal relationship,,Why did Lady Morna tell Harold that she was engaged to his brother?,implicit,She did not want him to bother her anymore.,She did not want him to propose to her again.,,explicit,Top stop Harold from proposing again,,
64,local,13,action,,What did Harold do after Paul left for the Palace of Orphir?,explicit,offered his heart and hand once more to the Lady Morna,,,explicit,"Harold, encouraged by his brother's absence offered his hear and hand once more to Lady Morna",,
65,summary,"9, 13",prediction,feeling,How will Harold feel after he find out that his brother is engaged to Lady Morna?,explicit,angry,,,explicit,Rage and Fury,Mad with anger,
66,summary,"13, 14",prediction,action,What will Harold do after he rides away on his horse?,implicit,He will meet Snorro.,He will get a love-potion from Snorro.,,implicit,Visit Snorro,,
67,summary,"13, 14",causal relationship,,Why did Harold want to buy a love-potion from Snorro?,explicit,It would make Lady Morna hate his precious brother and turn her thoughts kindly towards him.,,,implicit,He wanted Lady Morna to hate his brother and love him instead,,
68,summary,"13, 14",causal relationship,,Why did Harold think about Snorro after he was angered by his brother's engagement to Lady Morna?,implicit,He could receive help from Snorro.,He could ask for Snorro's help.,,implicit,He used to visit Snorro with his Aunt in the past,,
69,local,14,causal relationship,,Why did Harold buy a boat?,implicit,He needed to meet Snorro.,He used it to travel to where Snorro lived.,,implicit,To get to the Island of Hoy,,
70,local,14,setting,,Where did Harold go to after he decided to meet with Snorro?,explicit,the Island of Hoy,,,explicit,The Dwarfie Stone,,
71,local,14,causal relationship,,Why did Harold have an easy time finding Snorro the Dwarf?,explicit,"Snorro was standing at the hole that served as a door, his raven on his shoulder, gazing placidly at the setting sun.",,,explicit,Snorro was standing at the hole that served as a door,,
72,local,14,feeling,,How did Snorro the Dwarf feel after Harold came for his help?,implicit,happy,glad,,implicit,Happy because he will get more gold,Eager for he will get more gold,
73,local,14,causal relationship,,Why did Snorro the Dwarf smile when he heard Harold coming towards him?,implicit,He smelled gold.,He knew he would get more gold.,,explicit,He scenter more gold,,
74,local,14,causal relationship,,Why did Harold laugh angrily at Snorro the Dwarf?,implicit,Snorro did not understand why he needed a love-potion.,Snorro did not know Lady Morna fell in love with his brother.,,implicit,Snorro had questioned why a women would not love Harold,Snorro made fun of Harold,
75,local,15,action,,What did Snorro give to Harold?,explicit,a small phial,,,explicit,A small phial,A rosy liquid,
76,local,15,action,,What did Snorro tell Harold to do?,explicit,pour the contents of this into the Lady Morna's wine-cup,,,explicit,Pour the contents of this into the Lady Morna's wine cup,,
77,local,15,prediction,action,What will Harold do after he receives the love-potion?,implicit,He will return home.,He will go back to Lady Morna.,,implicit,Give Lady Morna the love potion in her wine,,
78,local,15,setting,,Where did Harold go to after he received the love-potion?,explicit,the Castle,,,explicit,The Castle,,
79,local,16,causal relationship,,Why didn't Lady Morna drink the wine?,explicit,"She had seen the hated Earl fingering the cup, and she feared some deed of treachery.",,,explicit,She had seen the Earl fingering the cup,,
80,local,16,action,,What did Lady Morna do to trick Harold that she drank the wine?,explicit,managed to pour the whole of the wine on the floor,,,explicit,She managed to pour the whole of the wine on the floor,,
81,local,16,causal relationship,,Why did Lady Morna treat Harold with great kindness?,explicit,She felt so afraid of him.,,,explicit,She felt so afraid of him,,
82,local,16,causal relationship,,Why did Harold feel delighted with Lady Morna's graciousness?,explicit,"He felt certain that the charm was beginning to work, and that his hopes would soon be fulfilled.",,,explicit,He felt certain that the charm was beginning to work,,
83,summary,"17, 18",prediction,feeling,How will Paul and Lady Morna feel when they see each other again?,explicit,overjoyed,,,implicit,Full of love,Overjoyed,Excited
84,local,17,causal relationship,,Why was Lady Morna overjoyed when she saw Paul again?,explicit,She felt that she was now safe from the unwelcome attentions of Earl Harold.,,,implicit,She felt that she was no safe from the unwelcome intentions of Earl Harold,,
85,local,17,feeling,,How did Harold feel after he saw Paul and Lady Morna together?,implicit,upset,jealous,,explicit,Bitter,Disgusted,Angry
86,summary,"12, 18",prediction,outcome solution,What will happen after the magic web arrives?,implicit,The two countesses will make a waistcoat from the thread.,The two countesses will sew the clothing.,,implicit,Countess Fraukirk will give it to Paul,,
87,local,17,action,,What did the raven give to Countess Fraukirk and Countess Helga?,explicit,a sealed packet,,,explicit,A sealed packet,,
88,local,18,feeling,,How did Countess Fraukirk and Countess Helga feel after they received the sealed packet?,implicit,excited,happy,glad,explicit,Excitement,,
89,local,18,action,,What did Countess Fraukirk and Countess Helga do after they open up the packet?,explicit,set to work to cut out and sew the garment,,,explicit,They set to work to cut out and sew the garment,,
90,summary,"18, 19",prediction,feeling,How will Harold feel after he sees that the love-potion is not working?,explicit,angry and disappointed,,,explicit,Angry and disappointed,,
91,local,19,causal relationship,,Why did Harold lose faith in Snorro's charm?,explicit,Lady Morna's manner had grown cold and distant again.,,,explicit,The Lady Morna's manner had grown cold and distant again,,
92,local,19,action,,What did Harold see on the table?,explicit,the wonderful waistcoat,,,explicit,The wonderful waistcoat,,
93,summary,"19, 20",prediction,feeling,How will Harold feel after he hears that the waistcoast is meant for his brother?,implicit,angry,upset,mad,implicit,Jealous,Angry,
94,local,19,causal relationship,,Why did Harold's mother's words anger him?,explicit,It seemed to him that this hated brother of his was claiming everything.,,,implicit,He is upset that Paul is getting everything,,
95,local,20,prediction,action,What will Harold do after his mother's words anger him?,explicit,snatch the vest from the table,,,implicit,He will put on the vert,,
96,local,20,action,,What did Harold's mother and aunt do after he took the vest?,explicit,"threw themselves at his feet, begging him to lay it down, and warning him that there was not a thread in it which was not poisoned",,,explicit,His mother and his aunt threw themselves at his feet,,
97,local,20,causal relationship,,Why did Harold rush out of the room?,implicit,He wanted to show Lady Morna.,He wanted to dress well for Lady Morna.,,explicit,To show Lady Morna how fine he was,,
98,summary,"20, 21",prediction,feeling,How will the two countesses feel after Harold takes the vest?,implicit,afraid,scared,terrified,implicit,Scared,Afraid that Harold will die,
99,local,21,causal relationship,,Why did the two countesses try to take off the vest from Harold's body?,implicit,The vest would kill him.,The vest would poison him.,,implicit,To save him from the poison in the vest,,
100,local,21,causal relationship,,Why did Harold ask for forgiveness from Paul?,explicit,Paul had been true and kind.,,,implicit,Paul had always been kind and true to him,,
101,local,21,action,,What did Harold do before he died?,implicit,revealed who killed him,revealed who poisoned him,,implicit,Warned Paul about his Aunts who are trying to kill him,,
102,local,21,feeling,,How did Paul feel after he found out the truth about his brother's death?,implicit,mad,angry,upset,implicit,Angry and disappointed,,
103,local,22,prediction,action,What will the two countesses do while there is panic and confusion that followed Harold's death?,explicit,"slip out of the Palace and fled to the coast, and take boat in haste to Scotland",,,implicit,Run away to Scotland,,
104,local,22,outcome resolution,,What happened after the two countesses fled to Scotland?,explicit,"Norsemen invaded the land, and their Castle was set on fire, and they perished miserably in the flames.",,,explicit,They perished miserably in the flames,,
105,local,22,outcome resolution,,What happened after Paul went to the Island of Hoy to find Snorro?,explicit,It was silent and deserted.,,,explicit,When he came to the Dwarfie Stone he found it silent and deserted,,
106,local,23,action,,What did Paul and Lady Morna do after Harold's funeral was over?,explicit,They were married.,,,explicit,They were married,,
107,local,23,causal relationship,,Why did Snorro lose all chance of finding the magic carbuncle?,implicit,He did not live on the island anymore.,He left the island.,,implicit,He no longer lived near Wart Hill,He could never go back to Wart Hill to find the carbuncle,
