question_id,local-or-sum,cor_section,ex-or-im1,attribute1,attribute2,question,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
21,local,12,explicit,action,,What did the manito tell Monedowa before the race began?,"""I wish it to be understood that when men run with me I make a wager, and I expect them to abide by it-life against life.""",,,explicit,"I wish it to be understood that when men run with me I make a wager, and I expect them to abide by it- life against life",,
22,local,13,implicit,causal relationship,,Why did Monedowa change to a bird when the old manito changed himself into a fox?,Birds were faster than foxes.,The manito was cheating.,,implicit,Because he is faster as a bird,The bird is faster than the fox,Becoming a bird put him ahead of Manito
23,local,13,explicit,action,,What did the mudjee monedo do when he saw his competitor before him?,immediately changed himself into a wolf,,,explicit,Changed himself into a wolf,,
24,local,13,explicit,action,,How did Monedowa know the mudjee monedo was in distress?,heard a noise from the mudjee monedo's throat,the birch-bud he swallowed at his mother-in-law's lodge,,explicit,Monedowa heard a noise from his throat,,
25,local,14,explicit,action,,What did the old manito assume the shape of to overtake Monedowa?,the buffalo,,,explicit,The shape of a deer,,
26,local,15,explicit,outcome resolution,,What happened to the wicked manito's kindred?,raised a cry of fear and fled away in a body to some distant land,,,explicit,"Raised a cry of fear and ffled away in a body to some distant land, whence they have never returned",,
27,local,16,explicit,causal relationship,,Why did Monedowa say he and his wife must leave the widow?,He had done that for which he was sent.,,,explicit,He has done that for which he was sent and is permitted tot ake with him the one whom he loves,,
28,summary,"5,6,16",implicit,causal relationship,,Why did Monedowa take the widow's daughter with him?,He was allowed to take one person with him.,He loved the daughter.,,implicit,He loved her,,
29,local,16,explicit,action,,What did Monedowa and Minda change into?,beautiful birds,,,explicit,Beautiful birds clothed in shining colors of red and blue,,
30,local,3,implicit,causal relationship,,Why did all of the Indian mothers abhor the manito?,The manito killed their sons.,The manito was a trickster.,The manito pressured their sons to shame.,implicit,He would challenge and kill their sons,,
31,local,4,implicit,causal relationship,,Why did the old woman strive to strengthen her son in every good course?,She wanted him to grow to be a good man.,She did not want him to die.,She wanted to prepare him for the manito's bet.,implicit,To not lose the skill and craft of his father and his brothers,,
32,local,6,explicit,setting,,Where did Minda return again and again?,the fragrant haunt in the wood,,,explicit,To the fragrant haunt in the wood,,
33,local,6,implicit,causal relationship,,Why did the bird ask Minda to be his?,to break the spell,He loved her.,He was treated kindly by her.,explicit,None ever heeded his voice till Minda,,
34,local,9,implicit,feeling,,How did the mother and wife feel telling Monedowa about the manito?,scared,terrified,mortified,implicit,Afraid,Scared,Concerned
35,summary,"1,10",implicit,causal relationship,,Why did the mudjee monedo invite Monedowa to a run?,to kill him,to prove himself unbeatable,The mudjee monedo was a trickster.,explicit,He enjoyed racing people and taking their lives,His cruel practice is to race men,
36,local,10,implicit,causal relationship,,Why did Monedowa partake in the feast first to show his guest that he need not fear?,to catch the manito off-guard,to trick the manito before the race,to show he was a good person,implicit,He was going to weaken him with a birch-bud,,
